STATION,NAME,DATE,TMAX,TMIN,TOBS
USC00445204,"MANASSAS, VA US",1/1/2019,60,39,60
USC00445204,"MANASSAS, VA US",1/2/2019,62,37,39
USC00445204,"MANASSAS, VA US",1/3/2019,45,39,41
USC00445204,"MANASSAS, VA US",1/4/2019,49,30,30
USC00445204,"MANASSAS, VA US",1/5/2019,46,30,43
USC00445204,"MANASSAS, VA US",1/6/2019,54,33,34
USC00445204,"MANASSAS, VA US",1/7/2019,55,33,34
USC00445204,"MANASSAS, VA US",1/8/2019,40,34,39
USC00445204,"MANASSAS, VA US",1/9/2019,62,39,42
USC00445204,"MANASSAS, VA US",1/10/2019,45,28,28
USC00445204,"MANASSAS, VA US",1/11/2019,34,25,25
USC00445204,"MANASSAS, VA US",1/12/2019,36,25,26
USC00445204,"MANASSAS, VA US",1/13/2019,34,26,27
USC00445204,"MANASSAS, VA US",1/14/2019,30,24,25
USC00445204,"MANASSAS, VA US",1/15/2019,34,12,12
USC00445204,"MANASSAS, VA US",1/16/2019,38,12,16
USC00445204,"MANASSAS, VA US",1/17/2019,42,16,27
USC00445204,"MANASSAS, VA US",1/18/2019,37,27,32
USC00445204,"MANASSAS, VA US",1/19/2019,36,32,34
USC00445204,"MANASSAS, VA US",1/20/2019,37,34,36
USC00445204,"MANASSAS, VA US",1/21/2019,41,12,16
USC00445204,"MANASSAS, VA US",1/22/2019,21,9,13
USC00445204,"MANASSAS, VA US",1/23/2019,35,13,35
USC00445204,"MANASSAS, VA US",1/24/2019,59,35,59
USC00445204,"MANASSAS, VA US",1/25/2019,60,26,26
USC00445204,"MANASSAS, VA US",1/26/2019,41,18,21
USC00445204,"MANASSAS, VA US",1/27/2019,40,21,31
USC00445204,"MANASSAS, VA US",1/28/2019,48,28,28
USC00445204,"MANASSAS, VA US",1/29/2019,39,27,31
USC00445204,"MANASSAS, VA US",1/30/2019,37,11,20
USC00445204,"MANASSAS, VA US",1/31/2019,34,2,2
USC00445204,"MANASSAS, VA US",2/1/2019,24,2,19
USC00445204,"MANASSAS, VA US",2/2/2019,24,13,21
USC00445204,"MANASSAS, VA US",2/3/2019,42,21,28
USC00445204,"MANASSAS, VA US",2/4/2019,56,28,30
USC00445204,"MANASSAS, VA US",2/5/2019,62,30,39
USC00445204,"MANASSAS, VA US",2/6/2019,72,39,42
USC00445204,"MANASSAS, VA US",2/7/2019,59,42,45
USC00445204,"MANASSAS, VA US",2/8/2019,53,45,48
USC00445204,"MANASSAS, VA US",2/9/2019,58,26,26
USC00445204,"MANASSAS, VA US",2/10/2019,34,16,25
USC00445204,"MANASSAS, VA US",2/11/2019,39,24,32
USC00445204,"MANASSAS, VA US",2/12/2019,35,32,34
USC00445204,"MANASSAS, VA US",2/13/2019,38,33,33
USC00445204,"MANASSAS, VA US",2/14/2019,50,26,26
USC00445204,"MANASSAS, VA US",2/15/2019,53,26,52
USC00445204,"MANASSAS, VA US",2/16/2019,64,39,39
USC00445204,"MANASSAS, VA US",2/17/2019,44,26,26
USC00445204,"MANASSAS, VA US",2/19/2019,,,27
USC00445204,"MANASSAS, VA US",2/20/2019,39,27,29
USC00445204,"MANASSAS, VA US",2/21/2019,32,29,32
USC00445204,"MANASSAS, VA US",2/23/2019,,32,36
USC00445204,"MANASSAS, VA US",2/24/2019,39,36,36
USC00445204,"MANASSAS, VA US",2/25/2019,62,36,40
USC00445204,"MANASSAS, VA US",2/26/2019,50,25,26
USC00445204,"MANASSAS, VA US",2/27/2019,54,26,27
USC00445204,"MANASSAS, VA US",2/28/2019,39,27,38
USC00445204,"MANASSAS, VA US",3/1/2019,45,32,32
USC00445204,"MANASSAS, VA US",3/2/2019,36,32,33
USC00445204,"MANASSAS, VA US",3/3/2019,47,33,39
USC00445204,"MANASSAS, VA US",3/4/2019,40,32,33
USC00445204,"MANASSAS, VA US",3/5/2019,41,23,25
USC00445204,"MANASSAS, VA US",3/6/2019,41,19,19
USC00445204,"MANASSAS, VA US",3/7/2019,32,18,21
USC00445204,"MANASSAS, VA US",3/8/2019,43,21,31
USC00445204,"MANASSAS, VA US",3/9/2019,37,31,34
USC00445204,"MANASSAS, VA US",3/10/2019,40,33,38
USC00445204,"MANASSAS, VA US",3/11/2019,64,38,47
USC00445204,"MANASSAS, VA US",3/12/2019,60,38,38
USC00445204,"MANASSAS, VA US",3/13/2019,52,26,26
USC00445204,"MANASSAS, VA US",3/14/2019,,26,
USC00445204,"MANASSAS, VA US",3/15/2019,74,,64
USC00445204,"MANASSAS, VA US",3/16/2019,75,,
USC00445204,"MANASSAS, VA US",3/17/2019,,,36
USC00445204,"MANASSAS, VA US",3/18/2019,52,35,39
USC00445204,"MANASSAS, VA US",3/19/2019,49,25,25
USC00445204,"MANASSAS, VA US",3/20/2019,50,25,28
USC00445204,"MANASSAS, VA US",3/21/2019,54,28,42
USC00445204,"MANASSAS, VA US",3/22/2019,45,39,44
USC00445204,"MANASSAS, VA US",3/23/2019,52,35,36
USC00445204,"MANASSAS, VA US",3/24/2019,53,27,41
USC00445204,"MANASSAS, VA US",3/25/2019,66,41,42
USC00445204,"MANASSAS, VA US",3/26/2019,63,35,35
USC00445204,"MANASSAS, VA US",3/27/2019,49,27,28
USC00445204,"MANASSAS, VA US",3/28/2019,53,27,33
USC00445204,"MANASSAS, VA US",3/29/2019,63,33,51
USC00445204,"MANASSAS, VA US",3/30/2019,68,47,48
USC00445204,"MANASSAS, VA US",3/31/2019,76,48,58
USC00445204,"MANASSAS, VA US",4/1/2019,59,31,31
USC00445204,"MANASSAS, VA US",4/2/2019,49,31,31
USC00445204,"MANASSAS, VA US",4/3/2019,46,30,31
USC00445204,"MANASSAS, VA US",4/4/2019,70,31,44
USC00445204,"MANASSAS, VA US",4/5/2019,69,44,45
USC00445204,"MANASSAS, VA US",4/6/2019,50,42,50
USC00445204,"MANASSAS, VA US",4/7/2019,68,47,55
USC00445204,"MANASSAS, VA US",4/8/2019,71,55,60
USC00445204,"MANASSAS, VA US",4/9/2019,80,58,59
USC00445204,"MANASSAS, VA US",4/10/2019,79,44,44
USC00445204,"MANASSAS, VA US",4/11/2019,69,44,
USC00445204,"MANASSAS, VA US",4/12/2019,,,49
USC00445204,"MANASSAS, VA US",4/13/2019,69,49,60
USC00445204,"MANASSAS, VA US",4/14/2019,73,60,67
USC00445204,"MANASSAS, VA US",4/15/2019,76,57,57
USC00445204,"MANASSAS, VA US",4/16/2019,59,41,42
USC00445204,"MANASSAS, VA US",4/17/2019,68,40,55
USC00445204,"MANASSAS, VA US",4/18/2019,74,52,53
USC00445204,"MANASSAS, VA US",4/19/2019,81,53,68
USC00445204,"MANASSAS, VA US",4/20/2019,74,63,64
USC00445204,"MANASSAS, VA US",4/21/2019,71,46,52
USC00445204,"MANASSAS, VA US",4/22/2019,77,51,52
USC00445204,"MANASSAS, VA US",4/23/2019,,48,
USC00445204,"MANASSAS, VA US",4/24/2019,83,,67
USC00445204,"MANASSAS, VA US",4/25/2019,,,
USC00445204,"MANASSAS, VA US",4/26/2019,73,55,57
USC00445204,"MANASSAS, VA US",4/27/2019,74,51,51
USC00445204,"MANASSAS, VA US",4/28/2019,70,50,51
USC00445204,"MANASSAS, VA US",4/29/2019,72,41,41
USC00445204,"MANASSAS, VA US",4/30/2019,59,41,54
USC00445204,"MANASSAS, VA US",5/1/2019,81,54,58
USC00445204,"MANASSAS, VA US",5/2/2019,66,55,55
USC00445204,"MANASSAS, VA US",5/3/2019,86,55,62
USC00445204,"MANASSAS, VA US",5/4/2019,84,62,63
USC00445204,"MANASSAS, VA US",5/5/2019,77,63,65
USC00445204,"MANASSAS, VA US",5/6/2019,68,55,60
USC00445204,"MANASSAS, VA US",5/7/2019,75,56,57
USC00445204,"MANASSAS, VA US",5/8/2019,80,57,61
USC00445204,"MANASSAS, VA US",5/9/2019,68,60,60
USC00445204,"MANASSAS, VA US",5/10/2019,75,60,65
USC00445204,"MANASSAS, VA US",5/11/2019,80,60,60
USC00445204,"MANASSAS, VA US",5/12/2019,66,55,56
USC00445204,"MANASSAS, VA US",5/13/2019,56,47,47
USC00445204,"MANASSAS, VA US",5/14/2019,59,47,52
USC00445204,"MANASSAS, VA US",5/15/2019,62,45,45
USC00445204,"MANASSAS, VA US",5/16/2019,72,45,52
USC00445204,"MANASSAS, VA US",5/17/2019,77,52,54
USC00445204,"MANASSAS, VA US",5/18/2019,81,54,65
USC00445204,"MANASSAS, VA US",5/19/2019,84,61,66
USC00445204,"MANASSAS, VA US",5/20/2019,88,66,71
USC00445204,"MANASSAS, VA US",5/21/2019,87,59,59
USC00445204,"MANASSAS, VA US",5/22/2019,70,52,54
USC00445204,"MANASSAS, VA US",5/23/2019,71,54,59
USC00445204,"MANASSAS, VA US",5/24/2019,86,59,72
USC00445204,"MANASSAS, VA US",5/25/2019,84,63,65
USC00445204,"MANASSAS, VA US",5/26/2019,82,65,68
USC00445204,"MANASSAS, VA US",5/27/2019,87,68,71
USC00445204,"MANASSAS, VA US",5/28/2019,82,66,68
USC00445204,"MANASSAS, VA US",5/29/2019,88,68,68
USC00445204,"MANASSAS, VA US",5/30/2019,,,
USC00445204,"MANASSAS, VA US",5/31/2019,,,
USC00445204,"MANASSAS, VA US",6/1/2019,,,
USC00445204,"MANASSAS, VA US",6/2/2019,,,
USC00445204,"MANASSAS, VA US",6/3/2019,,53,53
USC00445204,"MANASSAS, VA US",6/4/2019,72,47,48
USC00445204,"MANASSAS, VA US",6/5/2019,,48,
USC00445204,"MANASSAS, VA US",6/6/2019,,,
USC00445204,"MANASSAS, VA US",6/7/2019,86,,69
USC00445204,"MANASSAS, VA US",6/8/2019,77,66,69
USC00445204,"MANASSAS, VA US",6/9/2019,79,65,69
USC00445204,"MANASSAS, VA US",6/10/2019,71,62,62
USC00445204,"MANASSAS, VA US",6/11/2019,72,62,63
USC00445204,"MANASSAS, VA US",6/12/2019,77,57,57
USC00445204,"MANASSAS, VA US",6/13/2019,,,
USC00445204,"MANASSAS, VA US",6/14/2019,76,53,57
USC00445204,"MANASSAS, VA US",6/15/2019,76,54,54
USC00445204,"MANASSAS, VA US",6/16/2019,81,54,67
USC00445204,"MANASSAS, VA US",6/17/2019,85,67,71
USC00445204,"MANASSAS, VA US",6/18/2019,88,68,70
USC00445204,"MANASSAS, VA US",6/19/2019,85,68,70
USC00445204,"MANASSAS, VA US",6/20/2019,85,70,72
USC00445204,"MANASSAS, VA US",6/21/2019,89,,
USC00445204,"MANASSAS, VA US",6/22/2019,,65,65
USC00445204,"MANASSAS, VA US",6/23/2019,,,
USC00445204,"MANASSAS, VA US",6/24/2019,82,,65
USC00445204,"MANASSAS, VA US",6/25/2019,88,65,71
USC00445204,"MANASSAS, VA US",6/26/2019,87,64,65
USC00445204,"MANASSAS, VA US",6/27/2019,,,
USC00445204,"MANASSAS, VA US",6/28/2019,91,,70
USC00445204,"MANASSAS, VA US",6/29/2019,91,67,74
USC00445204,"MANASSAS, VA US",6/30/2019,93,67,71
USC00445204,"MANASSAS, VA US",7/1/2019,90,62,63
USC00445204,"MANASSAS, VA US",7/2/2019,84,63,64
USC00445204,"MANASSAS, VA US",7/3/2019,92,64,72
USC00445204,"MANASSAS, VA US",7/4/2019,90,72,81
USC00445204,"MANASSAS, VA US",7/5/2019,90,72,74
USC00445204,"MANASSAS, VA US",7/6/2019,87,72,81
USC00445204,"MANASSAS, VA US",7/7/2019,92,73,75
USC00445204,"MANASSAS, VA US",7/8/2019,86,73,73
USC00445204,"MANASSAS, VA US",7/9/2019,75,62,63
USC00445204,"MANASSAS, VA US",7/10/2019,84,63,68
USC00445204,"MANASSAS, VA US",7/11/2019,,,
USC00445204,"MANASSAS, VA US",7/12/2019,90,68,70
USC00445204,"MANASSAS, VA US",7/13/2019,,,
USC00445204,"MANASSAS, VA US",7/14/2019,,,
USC00445204,"MANASSAS, VA US",7/15/2019,,,
USC00445204,"MANASSAS, VA US",7/16/2019,,,
USC00445204,"MANASSAS, VA US",7/17/2019,,,
USC00445204,"MANASSAS, VA US",7/18/2019,,,
USC00445204,"MANASSAS, VA US",7/19/2019,,,
USC00445204,"MANASSAS, VA US",7/20/2019,,,
USC00445204,"MANASSAS, VA US",7/21/2019,,,
USC00445204,"MANASSAS, VA US",7/22/2019,97,,
USC00445204,"MANASSAS, VA US",7/23/2019,94,67,68
USC00445204,"MANASSAS, VA US",7/24/2019,76,64,65
USC00445204,"MANASSAS, VA US",7/25/2019,84,61,62
USC00445204,"MANASSAS, VA US",7/26/2019,86,62,65
USC00445204,"MANASSAS, VA US",7/27/2019,85,64,84
USC00445204,"MANASSAS, VA US",7/28/2019,89,67,71
USC00445204,"MANASSAS, VA US",7/29/2019,93,69,70
USC00445204,"MANASSAS, VA US",7/30/2019,92,70,72
USC00445204,"MANASSAS, VA US",7/31/2019,95,69,70
USC00445204,"MANASSAS, VA US",8/1/2019,87,65,66
USC00445204,"MANASSAS, VA US",8/2/2019,88,65,69
USC00445204,"MANASSAS, VA US",8/3/2019,85,69,73
USC00445204,"MANASSAS, VA US",8/4/2019,89,71,76
USC00445204,"MANASSAS, VA US",8/5/2019,90,65,66
USC00445204,"MANASSAS, VA US",8/6/2019,88,65,66
USC00445204,"MANASSAS, VA US",8/7/2019,90,66,71
USC00445204,"MANASSAS, VA US",8/8/2019,91,66,67
USC00445204,"MANASSAS, VA US",8/9/2019,91,67,68
USC00445204,"MANASSAS, VA US",8/10/2019,92,62,71
USC00445204,"MANASSAS, VA US",8/11/2019,83,60,72
USC00445204,"MANASSAS, VA US",8/12/2019,85,61,61
USC00445204,"MANASSAS, VA US",8/13/2019,91,61,75
USC00445204,"MANASSAS, VA US",8/14/2019,84,72,72
USC00445204,"MANASSAS, VA US",8/15/2019,88,72,73
USC00445204,"MANASSAS, VA US",8/16/2019,85,71,72
USC00445204,"MANASSAS, VA US",8/17/2019,86,71,74
USC00445204,"MANASSAS, VA US",8/18/2019,90,72,77
USC00445204,"MANASSAS, VA US",8/19/2019,93,71,71
USC00445204,"MANASSAS, VA US",8/20/2019,96,71,72
USC00445204,"MANASSAS, VA US",8/21/2019,93,69,69
USC00445204,"MANASSAS, VA US",8/22/2019,91,69,71
USC00445204,"MANASSAS, VA US",8/23/2019,91,71,72
USC00445204,"MANASSAS, VA US",8/24/2019,74,59,61
USC00445204,"MANASSAS, VA US",8/25/2019,78,61,62
USC00445204,"MANASSAS, VA US",8/26/2019,77,59,59
USC00445204,"MANASSAS, VA US",8/27/2019,74,59,62
USC00445204,"MANASSAS, VA US",8/28/2019,,,
USC00445204,"MANASSAS, VA US",8/29/2019,80,58,59
USC00445204,"MANASSAS, VA US",8/30/2019,83,57,57
USC00445204,"MANASSAS, VA US",8/31/2019,88,57,68
USC00445204,"MANASSAS, VA US",9/1/2019,87,68,70
USC00445204,"MANASSAS, VA US",9/2/2019,79,70,72
USC00445204,"MANASSAS, VA US",9/3/2019,87,66,66
USC00445204,"MANASSAS, VA US",9/4/2019,84,66,71
USC00445204,"MANASSAS, VA US",9/5/2019,92,70,70
USC00445204,"MANASSAS, VA US",9/6/2019,80,65,65
USC00445204,"MANASSAS, VA US",9/7/2019,78,58,61
USC00445204,"MANASSAS, VA US",9/8/2019,82,59,60
